filename,width,height,class,xmin,ymin,xmax,ymax
1c280073-bf4e-46d4-947e-b3e586fb3888.jpg,1289,725,borrowed_time,127,183,161,216
1c280073-bf4e-46d4-947e-b3e586fb3888.jpg,1289,725,circle_of_healing,165,182,199,215
1c280073-bf4e-46d4-947e-b3e586fb3888.jpg,1289,725,iron_will,202,182,236,215
1c280073-bf4e-46d4-947e-b3e586fb3888.jpg,1289,725,dead_hard,238,182,272,215
1c280073-bf4e-46d4-947e-b3e586fb3888.jpg,1289,725,borrowed_time,127,257,161,290
1c280073-bf4e-46d4-947e-b3e586fb3888.jpg,1289,725,circle_of_healing,164,257,198,290
1c280073-bf4e-46d4-947e-b3e586fb3888.jpg,1289,725,iron_will,202,257,236,290
1c280073-bf4e-46d4-947e-b3e586fb3888.jpg,1289,725,dead_hard,239,257,273,290
1c280073-bf4e-46d4-947e-b3e586fb3888.jpg,1289,725,spine_chill,127,333,161,366
1c280073-bf4e-46d4-947e-b3e586fb3888.jpg,1289,725,empathy,165,332,199,365
1c280073-bf4e-46d4-947e-b3e586fb3888.jpg,1289,725,up_the_ante,202,332,236,365
1c280073-bf4e-46d4-947e-b3e586fb3888.jpg,1289,725,unbreakable,238,332,272,365
1c280073-bf4e-46d4-947e-b3e586fb3888.jpg,1289,725,plunderers_instinct,127,406,161,439
1c280073-bf4e-46d4-947e-b3e586fb3888.jpg,1289,725,dead_hard,165,405,199,438
1c280073-bf4e-46d4-947e-b3e586fb3888.jpg,1289,725,iron_will,203,407,237,440
1c280073-bf4e-46d4-947e-b3e586fb3888.jpg,1289,725,unbreakable,239,407,273,440
1c280073-bf4e-46d4-947e-b3e586fb3888.jpg,1289,725,unrelenting,127,482,161,515
1c280073-bf4e-46d4-947e-b3e586fb3888.jpg,1289,725,thrilling_tremors,165,482,199,515
1c280073-bf4e-46d4-947e-b3e586fb3888.jpg,1289,725,jolt,202,482,236,515
1c280073-bf4e-46d4-947e-b3e586fb3888.jpg,1289,725,im_all_ears,238,482,272,515
20211209193218-1.jpg,1920,1080,no_one_left_behind,188,298,235,345
20211209193218-1.jpg,1920,1080,sprint_burst,243,299,290,346
20211209193218-1.jpg,1920,1080,spine_chill,298,299,345,346
20211209193218-1.jpg,1920,1080,guardian,354,299,401,346
20211209193218-1.jpg,1920,1080,sprint_burst,187,410,234,457
20211209193218-1.jpg,1920,1080,adrenaline,243,411,290,458
20211209193218-1.jpg,1920,1080,quick_and_quiet,297,411,344,458
20211209193218-1.jpg,1920,1080,lightweight,351,411,398,458
20211209193218-1.jpg,1920,1080,well_make_it,187,523,234,570
20211209193218-1.jpg,1920,1080,self_aware,243,523,290,570
20211209193218-1.jpg,1920,1080,lightweight,298,524,345,571
20211209193218-1.jpg,1920,1080,guardian,353,521,400,568
20211209193218-1.jpg,1920,1080,bond,188,632,235,679
20211209193218-1.jpg,1920,1080,leader,241,632,288,679
20211209193218-1.jpg,1920,1080,prove_thyself,299,632,346,679
20211209193218-1.jpg,1920,1080,blank_perk,189,745,236,792
20211209193218-1.jpg,1920,1080,overcharge,243,745,290,792
20211209193218-1.jpg,1920,1080,blank_perk,298,744,345,791
20211209193218-1.jpg,1920,1080,monitor_and_abuse,355,633,402,680
20211209193218-1.jpg,1920,1080,overwhelming_presence,353,746,400,793
20220112222731_1.jpg,1289,725,dead_hard,113,215,142,244
